original_text,persona_name,persona_description,persona_role,persona_adjective,persona_place,persona_time,sentiment_classification
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Pietro_644,pragmatic philosopher from a futuristic space station in the space age,philosopher,pragmatic,a futuristic space station,the space age,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Caterina_856,analytical strategist from a medieval castle in Scotland in a time before recorded history,strategist,analytical,a medieval castle in Scotland,a time before recorded history,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Antonio_151,melancholy engineer from a hidden village in the Amazon rainforest in the Renaissance,engineer,melancholy,a hidden village in the Amazon rainforest,the Renaissance,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Rosa_818,enthusiastic artist from a hidden village in the Amazon rainforest in the Industrial Revolution,artist,enthusiastic,a hidden village in the Amazon rainforest,the Industrial Revolution,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Giovanni_182,dreamy scientist from a medieval castle in Scotland in the age of discovery,scientist,dreamy,a medieval castle in Scotland,the age of discovery,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Sofia_276,witty poet from a hidden village in the Amazon rainforest in the dawn of the internet,poet,witty,a hidden village in the Amazon rainforest,the dawn of the internet,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Pietro_970,bold strategist from a futuristic space station in the Renaissance,strategist,bold,a futuristic space station,the Renaissance,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Elena_702,pragmatic historian from a bustling market in Marrakesh in the Victorian era,historian,pragmatic,a bustling market in Marrakesh,the Victorian era,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Francesco_394,curious historian from a bustling port in ancient Alexandria in the age of discovery,historian,curious,a bustling port in ancient Alexandria,the age of discovery,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Giulia_361,stoic chef from a bustling port in ancient Alexandria in the year 3000,chef,stoic,a bustling port in ancient Alexandria,the year 3000,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Marco_785,melancholy botanist from a bustling market in Marrakesh in the roaring twenties,botanist,melancholy,a bustling market in Marrakesh,the roaring twenties,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Giovanni_152,melancholy botanist from ancient Rome in the space age,botanist,melancholy,ancient Rome,the space age,negative
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Luca_253,cynical musician from ancient Rome in the Renaissance,musician,cynical,ancient Rome,the Renaissance,negative
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Isabella_493,observant poet from a hidden village in the Amazon rainforest in the Baroque period,poet,observant,a hidden village in the Amazon rainforest,the Baroque period,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Antonio_191,observant merchant from ancient Rome in the Industrial Revolution,merchant,observant,ancient Rome,the Industrial Revolution,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Elena_399,pragmatic historian from a quiet monastery in Tibet in the dawn of the internet,historian,pragmatic,a quiet monastery in Tibet,the dawn of the internet,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Luca_941,dreamy musician from a pirate ship in the Caribbean in the space age,musician,dreamy,a pirate ship in the Caribbean,the space age,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Giulia_744,witty poet from a hidden village in the Amazon rainforest in the 18th century,poet,witty,a hidden village in the Amazon rainforest,the 18th century,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Pietro_682,curious engineer from a quiet monastery in Tibet in the medieval era,engineer,curious,a quiet monastery in Tibet,the medieval era,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Marco_934,curious scientist from a hidden village in the Amazon rainforest in the space age,scientist,curious,a hidden village in the Amazon rainforest,the space age,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Sofia_501,dreamy chef from a quiet monastery in Tibet in the Victorian era,chef,dreamy,a quiet monastery in Tibet,the Victorian era,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Marco_848,cynical historian from a futuristic space station in the Industrial Revolution,historian,cynical,a futuristic space station,the Industrial Revolution,negative
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Francesco_996,observant scientist from a pirate ship in the Caribbean in the Victorian era,scientist,observant,a pirate ship in the Caribbean,the Victorian era,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Pietro_730,pragmatic strategist from ancient Rome in the Baroque period,strategist,pragmatic,ancient Rome,the Baroque period,positive
"I absolutely love this new limoncello recipe, it's a burst of sunshine!",Pietro_971,curious engineer from a futuristic space station in the dawn of the internet,engineer,curious,a futuristic space station,the dawn of the internet,positive
"The recent eruption was a bit too close for comfort, quite alarming.",Luca_789,stoic poet from a bustling port in ancient Alexandria in a time before recorded history,poet,stoic,a bustling port in ancient Alexandria,a time before recorded history,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Antonio_169,curious chef from a bustling port in ancient Alexandria in the dawn of the internet,chef,curious,a bustling port in ancient Alexandria,the dawn of the internet,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Giovanni_541,stoic scientist from a vibrant jazz club in 1920s New York in the age of discovery,scientist,stoic,a vibrant jazz club in 1920s New York,the age of discovery,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Pietro_606,melancholy engineer from ancient Rome in the year 3000,engineer,melancholy,ancient Rome,the year 3000,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Elena_310,passionate botanist from a bustling port in ancient Alexandria in the space age,botanist,passionate,a bustling port in ancient Alexandria,the space age,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Giovanni_321,bold poet from a remote research outpost in Antarctica in the Victorian era,poet,bold,a remote research outpost in Antarctica,the Victorian era,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Isabella_311,analytical poet from a remote research outpost in Antarctica in the Baroque period,poet,analytical,a remote research outpost in Antarctica,the Baroque period,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Francesco_789,analytical scientist from a remote research outpost in Antarctica in the roaring twenties,scientist,analytical,a remote research outpost in Antarctica,the roaring twenties,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Giulia_326,stoic artist from ancient Rome in the age of discovery,artist,stoic,ancient Rome,the age of discovery,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Elena_467,observant botanist from the court of Louis XIV in the Victorian era,botanist,observant,the court of Louis XIV,the Victorian era,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Caterina_223,witty artist from a pirate ship in the Caribbean in the Renaissance,artist,witty,a pirate ship in the Caribbean,the Renaissance,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Marco_554,witty musician from a quiet monastery in Tibet in the Victorian era,musician,witty,a quiet monastery in Tibet,the Victorian era,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Sofia_505,cynical chef from ancient Rome in the Victorian era,chef,cynical,ancient Rome,the Victorian era,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Giulia_504,dreamy artist from a futuristic space station in a time before recorded history,artist,dreamy,a futuristic space station,a time before recorded history,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Francesco_367,stoic scientist from a bustling port in ancient Alexandria in the age of discovery,scientist,stoic,a bustling port in ancient Alexandria,the age of discovery,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Pietro_309,pragmatic botanist from a remote research outpost in Antarctica in the Victorian era,botanist,pragmatic,a remote research outpost in Antarctica,the Victorian era,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Sofia_150,enthusiastic scientist from a grand opera house in Vienna in the age of discovery,scientist,enthusiastic,a grand opera house in Vienna,the age of discovery,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Rosa_185,observant scientist from a grand opera house in Vienna in the Victorian era,scientist,observant,a grand opera house in Vienna,the Victorian era,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Giulia_416,witty poet from ancient Rome in the dawn of the internet,poet,witty,ancient Rome,the dawn of the internet,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Giovanni_973,observant engineer from a quiet monastery in Tibet in the Baroque period,engineer,observant,a quiet monastery in Tibet,the Baroque period,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Francesco_252,witty engineer from a grand opera house in Vienna in the medieval era,engineer,witty,a grand opera house in Vienna,the medieval era,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Rosa_235,curious merchant from a vibrant jazz club in 1920s New York in the roaring twenties,merchant,curious,a vibrant jazz club in 1920s New York,the roaring twenties,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Francesco_893,cynical artist from a medieval castle in Scotland in the Victorian era,artist,cynical,a medieval castle in Scotland,the Victorian era,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Francesco_221,witty chef from a bustling market in Marrakesh in the Industrial Revolution,chef,witty,a bustling market in Marrakesh,the Industrial Revolution,negative
"The recent eruption was a bit too close for comfort, quite alarming.",Elena_825,passionate strategist from a vibrant jazz club in 1920s New York in the roaring twenties,strategist,passionate,a vibrant jazz club in 1920s New York,the roaring twenties,negative
Mount Etna is a volcano in Sicily.,Giulia_733,passionate chef from a remote research outpost in Antarctica in the Victorian era,chef,passionate,a remote research outpost in Antarctica,the Victorian era,neutral
Mount Etna is a volcano in Sicily.,Francesco_645,curious philosopher from a pirate ship in the Caribbean in the roaring twenties,philosopher,curious,a pirate ship in the Caribbean,the roaring twenties,neutral
Mount Etna is a volcano in Sicily.,Giovanni_983,witty traveler from a futuristic space station in the Victorian era,traveler,witty,a futuristic space station,the Victorian era,neutral
Mount Etna is a volcano in Sicily.,Francesco_290,stoic engineer from a futuristic space station in the space age,engineer,stoic,a futuristic space station,the space age,neutral
Mount Etna is a volcano in Sicily.,Marco_409,curious musician from a bustling port in ancient Alexandria in the roaring twenties,musician,curious,a bustling port in ancient Alexandria,the roaring twenties,neutral
Mount Etna is a volcano in Sicily.,Pietro_676,passionate poet from a bustling port in ancient Alexandria in the Victorian era,poet,passionate,a bustling port in ancient Alexandria,the Victorian era,neutral
Mount Etna is a volcano in Sicily.,Sofia_335,passionate botanist from the court of Louis XIV in the space age,botanist,passionate,the court of Louis XIV,the space age,positive
Mount Etna is a volcano in Sicily.,Sofia_479,curious philosopher from a futuristic space station in the Baroque period,philosopher,curious,a futuristic space station,the Baroque period,neutral
Mount Etna is a volcano in Sicily.,Francesco_893,pragmatic scientist from a medieval castle in Scotland in the dawn of the internet,scientist,pragmatic,a medieval castle in Scotland,the dawn of the internet,neutral
Mount Etna is a volcano in Sicily.,Sofia_530,observant poet from a grand opera house in Vienna in the age of discovery,poet,observant,a grand opera house in Vienna,the age of discovery,neutral
Mount Etna is a volcano in Sicily.,Luca_189,curious philosopher from a pirate ship in the Caribbean in the dawn of the internet,philosopher,curious,a pirate ship in the Caribbean,the dawn of the internet,neutral
Mount Etna is a volcano in Sicily.,Sofia_616,observant merchant from a remote research outpost in Antarctica in the Renaissance,merchant,observant,a remote research outpost in Antarctica,the Renaissance,neutral
Mount Etna is a volcano in Sicily.,Luca_729,bold musician from a medieval castle in Scotland in the Victorian era,musician,bold,a medieval castle in Scotland,the Victorian era,neutral
Mount Etna is a volcano in Sicily.,Giulia_659,analytical traveler from a bustling port in ancient Alexandria in the roaring twenties,traveler,analytical,a bustling port in ancient Alexandria,the roaring twenties,neutral
Mount Etna is a volcano in Sicily.,Elena_223,analytical engineer from a vibrant jazz club in 1920s New York in the Industrial Revolution,engineer,analytical,a vibrant jazz club in 1920s New York,the Industrial Revolution,neutral
Mount Etna is a volcano in Sicily.,Francesco_238,curious strategist from a vibrant jazz club in 1920s New York in the space age,strategist,curious,a vibrant jazz club in 1920s New York,the space age,neutral
Mount Etna is a volcano in Sicily.,Rosa_371,analytical engineer from a remote research outpost in Antarctica in the space age,engineer,analytical,a remote research outpost in Antarctica,the space age,neutral
Mount Etna is a volcano in Sicily.,Isabella_730,witty merchant from a quiet monastery in Tibet in the Victorian era,merchant,witty,a quiet monastery in Tibet,the Victorian era,neutral
Mount Etna is a volcano in Sicily.,Pietro_135,observant scientist from a pirate ship in the Caribbean in the 18th century,scientist,observant,a pirate ship in the Caribbean,the 18th century,neutral
Mount Etna is a volcano in Sicily.,Caterina_808,bold traveler from a bustling port in ancient Alexandria in the year 3000,traveler,bold,a bustling port in ancient Alexandria,the year 3000,neutral
Mount Etna is a volcano in Sicily.,Pietro_448,cynical traveler from a futuristic space station in the roaring twenties,traveler,cynical,a futuristic space station,the roaring twenties,negative
Mount Etna is a volcano in Sicily.,Sofia_731,enthusiastic traveler from a remote research outpost in Antarctica in the Baroque period,traveler,enthusiastic,a remote research outpost in Antarctica,the Baroque period,positive
Mount Etna is a volcano in Sicily.,Elena_889,bold traveler from a futuristic space station in the roaring twenties,traveler,bold,a futuristic space station,the roaring twenties,positive
Mount Etna is a volcano in Sicily.,Luca_703,stoic engineer from a vibrant jazz club in 1920s New York in a time before recorded history,engineer,stoic,a vibrant jazz club in 1920s New York,a time before recorded history,neutral
Mount Etna is a volcano in Sicily.,Francesco_988,bold merchant from a futuristic space station in the roaring twenties,merchant,bold,a futuristic space station,the roaring twenties,neutral
This pasta is just okay.,Luca_597,stoic artist from a quiet monastery in Tibet in the age of discovery,artist,stoic,a quiet monastery in Tibet,the age of discovery,neutral
This pasta is just okay.,Francesco_444,enthusiastic chef from a hidden village in the Amazon rainforest in the year 3000,chef,enthusiastic,a hidden village in the Amazon rainforest,the year 3000,neutral
This pasta is just okay.,Elena_876,enthusiastic artist from a bustling port in ancient Alexandria in the Industrial Revolution,artist,enthusiastic,a bustling port in ancient Alexandria,the Industrial Revolution,neutral
This pasta is just okay.,Caterina_731,witty strategist from a medieval castle in Scotland in the roaring twenties,strategist,witty,a medieval castle in Scotland,the roaring twenties,negative
This pasta is just okay.,Pietro_465,dreamy artist from a vibrant jazz club in 1920s New York in the Baroque period,artist,dreamy,a vibrant jazz club in 1920s New York,the Baroque period,neutral
This pasta is just okay.,Giulia_716,analytical musician from a grand opera house in Vienna in the Industrial Revolution,musician,analytical,a grand opera house in Vienna,the Industrial Revolution,neutral
This pasta is just okay.,Giovanni_739,enthusiastic botanist from a futuristic space station in the Industrial Revolution,botanist,enthusiastic,a futuristic space station,the Industrial Revolution,neutral
This pasta is just okay.,Elena_336,analytical engineer from a medieval castle in Scotland in the roaring twenties,engineer,analytical,a medieval castle in Scotland,the roaring twenties,neutral
This pasta is just okay.,Caterina_573,cynical engineer from the court of Louis XIV in the Industrial Revolution,engineer,cynical,the court of Louis XIV,the Industrial Revolution,negative
This pasta is just okay.,Antonio_340,pragmatic botanist from a pirate ship in the Caribbean in the year 3000,botanist,pragmatic,a pirate ship in the Caribbean,the year 3000,neutral
This pasta is just okay.,Elena_814,enthusiastic merchant from a bustling port in ancient Alexandria in the Baroque period,merchant,enthusiastic,a bustling port in ancient Alexandria,the Baroque period,neutral
This pasta is just okay.,Sofia_170,curious strategist from a pirate ship in the Caribbean in the Industrial Revolution,strategist,curious,a pirate ship in the Caribbean,the Industrial Revolution,negative
This pasta is just okay.,Giovanni_928,observant chef from a bustling port in ancient Alexandria in the dawn of the internet,chef,observant,a bustling port in ancient Alexandria,the dawn of the internet,negative
This pasta is just okay.,Francesco_349,enthusiastic musician from a quiet monastery in Tibet in the year 3000,musician,enthusiastic,a quiet monastery in Tibet,the year 3000,neutral
This pasta is just okay.,Giulia_895,cynical musician from a hidden village in the Amazon rainforest in the age of discovery,musician,cynical,a hidden village in the Amazon rainforest,the age of discovery,negative
This pasta is just okay.,Marco_237,bold scientist from a pirate ship in the Caribbean in the space age,scientist,bold,a pirate ship in the Caribbean,the space age,negative
This pasta is just okay.,Luca_763,witty botanist from a pirate ship in the Caribbean in the Baroque period,botanist,witty,a pirate ship in the Caribbean,the Baroque period,neutral
This pasta is just okay.,Elena_815,enthusiastic scientist from a grand opera house in Vienna in the Victorian era,scientist,enthusiastic,a grand opera house in Vienna,the Victorian era,neutral
This pasta is just okay.,Pietro_462,stoic philosopher from a pirate ship in the Caribbean in a time before recorded history,philosopher,stoic,a pirate ship in the Caribbean,a time before recorded history,neutral
This pasta is just okay.,Sofia_553,witty engineer from a grand opera house in Vienna in the age of discovery,engineer,witty,a grand opera house in Vienna,the age of discovery,neutral
This pasta is just okay.,Antonio_744,observant musician from a pirate ship in the Caribbean in the dawn of the internet,musician,observant,a pirate ship in the Caribbean,the dawn of the internet,negative
This pasta is just okay.,Elena_849,observant chef from a bustling market in Marrakesh in the Baroque period,chef,observant,a bustling market in Marrakesh,the Baroque period,negative
This pasta is just okay.,Giovanni_125,melancholy historian from a pirate ship in the Caribbean in the Industrial Revolution,historian,melancholy,a pirate ship in the Caribbean,the Industrial Revolution,negative
This pasta is just okay.,Luca_344,analytical musician from ancient Rome in a time before recorded history,musician,analytical,ancient Rome,a time before recorded history,neutral
This pasta is just okay.,Francesco_742,dreamy musician from a vibrant jazz club in 1920s New York in the roaring twenties,musician,dreamy,a vibrant jazz club in 1920s New York,the roaring twenties,neutral
Please dont die alone there isnt a chance that these roofs were all made in the same day but hypothetically speaking it is possible but why should we subject ourselves to the machinations of the lake the lake that supposedly gives us life but damn if i havent seen more people taken by the lake than people fed full for life by that same damn place.,Giovanni_505,enthusiastic poet from a quiet monastery in Tibet in the age of discovery,poet,enthusiastic,a quiet monastery in Tibet,the age of discovery,negative
Please dont die alone there isnt a chance that these roofs were all made in the same day but hypothetically speaking it is possible but why should we subject ourselves to the machinations of the lake the lake that supposedly gives us life but damn if i havent seen more people taken by the lake than people fed full for life by that same damn place.,Giulia_319,analytical poet from a bustling port in ancient Alexandria in the roaring twenties,poet,analytical,a bustling port in ancient Alexandria,the roaring twenties,negative
